"anna","squicciarini","6506303417","28321"	,"4"
"anne","spence","7101813273","28961"	,"4"
"anne","thompson","7402849524","19932"	,"1"
"anthony","ford","35474426500","13591"	,"1"
"anthony","leiserowitz","6507236920","39810"	,"5"
"anthony","reynolds","7201478255","20814"	,"3"
"anton","post","56763670100","10191"	,"3"
"antonio","bobet","6701844546","12504"	,"2"
"araceli","ortiz","36465318000","35347"	,"5"
"arianne","cease","15122039600","23200"	,"4"
"arindam","banerjee","35184909500","16271"	,"1"
"arindam","chakraborty","55817552809","27706"	,"1"
"armando","rodriguez","7403543826","820"	,"5"
"arthur","hunt","7201428186","17719"	,"1"
"arthur","schmidt","55537979200","25138"	,"6"
"arturo","keller","7401738967","357"	,"5"
"arunava","gupta","55628526958","41525"	,"1"
"ashkan","vaziri","13403774400","11007"	,"1"
"ashland","brown","8531339400","3580"	,"5"
"ashley","crouch","7006377839","8959"	,"5"
"ashley","lemke","36639930900","36866"	,"1"
"ashok","krishnamurthy","25926443700","11545"	,"2"
"ashton","shortridge","6507648010","29568"	,"3"
"barak","cohen","56309327100","12006"	,"1"
"barbara","finlayson-pitts","57131366800","13730"	,"1"
"barbara","shinn-cunningham","6701765863","413"	,"4"
"barbara","taylor","7403035850","25939"	,"1"
"barrett","thomas","7401507963","20818"	,"4"
"barry","dellinger","7005174006","11171"	,"1"
"barry","hanan","6701807315","29068"	,"11"
"barry","sinervo","7003814756","17493"	,"1"
"basil","nikolau","7003573729","32579"	,"8"
"baskar","ganapathysubramanian","8589220000","31049"	,"4"
"behnaam","aazhang","7006212666","31379"	,"1"
"belinda","batten","15130567700","14895"	,"1"
"benjamin","herman","7102320462","36545"	,"1"
"benjamin","van,durme","26425343200","26923"	,"4"
"benjamin","wiley","7003310197","26994"	,"5"
"bernhard","peucker-ehrenbrink","55919394000","25340"	,"3"
"berry","lyons","7103100591","10293"	,"12"
"bertram","gawronski","9334887100","38142"	,"2"
"bhuvan","urgaonkar","14020908300","21254"	,"5"
"bin","he","7404942998","39676"	,"2"
"bin","jiang","7401706624","33684"	,"1"
"bin","li","55505433500","3296"	,"3"
"bin","wang","35491893600","17995"	,"4"
"bin","wang","55506180600","24447"	,"1"
"bin","wang","7407152046","17995"	,"1"
"bing","li","37037835700","31582"	,"1"
"bing","li","55571893000","31582"	,"1"
"bing","wang","35207042200","41538"	,"1"
"bing","yang","55712707800","17064"	,"1"
"bing","zhang","47861525100","28604"	,"2"
"blaine","reeder","26435488900","31271"	,"1"
"bo","li","14060628200","18137"	,"4"
"bo","xu","7406445193","14432"	,"6"
"bo","zhang","7406904407","4511"	,"12"
"bonita","brewer","7103111464","17704"	,"3"
"borko","furht","7004960599","1289"	,"5"
"bradley","striebig","6602382147","25946"	,"2"
"brant","faircloth","8437891300","10574"	,"3"
"branwen","williams","14627943600","35019"	,"1"
"branwen","williams","14627943600","39804"	,"6"
"brent","mishler","6601958116","41064"	,"7"
"brian","beck","7201773958","11627"	,"1"
"brian","fisher","7402131908","18044"	,"1"
"brian","gregory","8973926400","4950"	,"4"
"brian","hay","8911974400","17479"	,"6"
"brian","korgel","7006327656","22425"	,"1"
"brian","reich","12798767800","41398"	,"3"
"brian","strahl","6701692923","24916"	,"2"
"britte","cheng","56921200200","26067"	,"3"
"bruce","hinds","36725502600","28800"	,"2"
"bruce","maclennan","7003983008","16060"	,"1"
"bruce","sherin","6602088591","33408"	,"12"
"bruce","snyder","8925470200","11839"	,"1"
"bryan","berger","7201838426","25204"	,"2"
"burkhard","militzer","6602527880","40376"	,"1"
"carl","boehlert","7004579963","40282"	,"1"
"carl","friedrichs","7004008798","5646"	,"7"
"carl","koch","7402657283","30487"	,"3"
"carl","schmidt","55553731304","10645"	,"3"
"carla","swearingen","6604062076","2365"	,"1"
"carlos","alonso","6602198915","10289"	,"1"
"carlos","alonso","7403482519","10289"	,"1"
"carlos","guestrin","56123309500","19666"	,"14"
"carmen","almasan","7003574394","41278"	,"7"
"carol","barry","7102545915","386"	,"6"
"caroline","ummenhofer","14020798200","13106"	,"1"
"carolyn","anderson","55453372100","20868"	,"3"
"carter","kerk","6602144371","2478"	,"4"
"catherine","constable","8741665200","27256"	,"1"
"catherine","kling","7003791139","14082"	,"3"
"catherine","pringle","7004950358","8569"	,"15"
"cathryn","manduca","55397812700","8817"	,"2"
"cecilia","arighi","18433541200","10645"	,"2"
"celal","batur","7007082082","12342"	,"1"
"chad","hammerschmidt","6603393043","16496"	,"8"
"chang","liu","7409789004","17538"	,"1"
"changsheng","chen","35298445100","13019"	,"3"
"changsheng","li","35409507100","4226"	,"1"
"chao","wang","23053125500","31209"	,"1"
"chaowei","yang","55836525900","7997"	,"1"
"charles","anderson","55742462300","36835"	,"1"
"charles","criscione","6507913088","10448"	,"1"
"charles","jones","18042293200","7822"	,"1"
"charles","martel","35589077100","15054"	,"2"
"charles","meneveau","7006046344","9499"	,"1"
"charles","nunn","57189713883","28871"	,"1"
"charles","schmitt","35189516100","36461"	,"1"
"charles","seguin","56748781900","35865"	,"1"
"charles","wallace","7402176172","9596"	,"1"
"charles","wolgemuth","6603889627","29904"	,"1"
"chen","qian","54795547400","40440"	,"1"
"chen","qian","56081085200","36703"	,"2"
"chenyang","lu","57001697300","26854"	,"1"
"cheryl","schrader","36860813900","2295"	,"2"
"cheryl","whistler","6507692495","19621"	,"2"
"chet","sherwood","7005043387","26458"	,"3"
"chong","pak","8581472700","3571"	,"1"
"christina","bloebaum","6701395022","21021"	,"6"
"christine","johnson","55730256400","7681"	,"3"
"christine","lee","56100802700","41095"	,"1"
"christoph","aeppli","23388713700","25313"	,"2"
"christopher","anderson","7404307635","24324"	,"2"
"christopher","balakrishnan","7006198806","39467"	,"1"
"christopher","graves","57192792882","28949"	,"2"
"christopher","jones","57191693739","50"	,"2"
"christopher","li","7005195819","22451"	,"3"
"christopher","parkinson","7102253084","12381"	,"3"
"christopher","raxworthy","6603781036","19501"	,"3"
"christopher","roberts","25930595400","6250"	,"1"
"christopher","roberts","7404402533","14565"	,"1"
"christopher","roos","43061437300","7652"	,"6"
"christopher","sneden","7006682086","14250"	,"7"
"christopher","williams","56108938100","40188"	,"1"
"christopher","williams","57190154957","18413"	,"2"
"christopher","wilmers","6603498246","19216"	,"3"
"christopher","wilson","55249519100","15430"	,"2"
"christos","cassandras","7006787231","17154"	,"1"
"cindy","parker","8549642700","33231"	,"2"
"clare","mccabe","7101648683","20333"	,"2"
"claudio","mazzoleni","6701845055","7340"	,"7"
"clifford","duke","9040973700","26376"	,"1"
"clifton","kussmaul","6603232120","4501"	,"6"
"colin","stark","57072848100","15795"	,"1"
"cong","shi","41961793600","38416"	,"1"
"corey","webel","54945336900","32788"	,"3"
"corinna","gries","57172195100","36677"	,"1"
"corinne","richards-zawacki","33568227400","39493"	,"2"
"cornelis","van,der,veen","7005348433","1147"	,"1"
"craig","epifanio","7003408255","37646"	,"3"
"craig","glennie","26026946800","26149"	,"7"
"craig","manning","7101883339","27391"	,"6"
"cristina","marchetti","55201806400","21744"	,"13"
"crystal","schaaf","6508281521","1145"	,"2"
"curt","haselton","9039958700","4317"	,"1"
"curtis","huttenhower","14521138100","4907"	,"3"
"cynthia","beall","7005863034","11562"	,"6"
"cynthia","hood","7102044307","26760"	,"1"
"dale","clayton","7202150289","26641"	,"2"
"dale","moore","15134553800","9926"	,"2"
"dale","sawyer","7201550755","3967"	,"6"
"dallas","trinkle","6602846699","4836"	,"1"
"damon","centola","8623163000","41792"	,"3"
"dan","knopf","7004862278","10829"	,"1"
"dana","brunson","55826135100","26439"	,"2"
"dana","moss","24528983000","35578"	,"1"
"daniel","anderson","55483343200","14808"	,"1"
"daniel","andresen","7005952036","15577"	,"1"
"daniel","apley","6701685824","16557"	,"3"
"daniel","benjamin","34879325500","39701"	,"1"
"daniel","bernstein","7401750218","32031"	,"1"
"daniel","chavas","36961988200","25090"	,"2"
"daniel","chen","16419237500","25999"	,"1"
"daniel","chen","26663024900","25999"	,"6"
"daniel","chen","55725005100","25999"	,"1"
"daniel","childers","7006659626","3750"	,"26"
"daniel","gallagher","57192147065","34575"	,"2"
"daniel","goldman","7202137794","11170"	,"1"
"daniel","howard","36051712100","36558"	,"1"
"daniel","jones","7407105218","3706"	,"5"
"daniel","lacks","7007086859","18449"	,"2"
"daniel","levine","35461937000","31104"	,"1"
"daniel","mclaughlin","35581801300","28653"	,"1"
"daniel","needleman","6701620355","42365"	,"1"
"daniel","reich","7003888052","13732"	,"2"
"daniel","repeta","56646207800","29028"	,"3"
"daniel","schwartz","7403104254","411"	,"14"
"daniel","smith","24469036100","11598"	,"1"
"daniel","steingart","7801388816","38080"	,"1"
"daniel","weinreich","35270349700","40864"	,"1"
"dapeng","wu","35575635000","7947"	,"3"
"daryl","cooper","7404355490","13721"	,"6"
"david","allen","7404327638","8911"	,"1"
"david","anastasio","6602101331","8157"	,"2"
"david","barrett","7201928459","12450"	,"1"
"david","beck","18433681600","19666"	,"8"
"david","benson","56867062600","5412"	,"1"
"david","bierling","56652284000","27411"	,"1"
"david","bland","7003775211","13223"	,"1"
"david","breshears","6701807556","25097"	,"10"
"david","britt","7007024121","34977"	,"2"
"david","clark","7404789024","15326"	,"1"
"david","clark","7404789343","15326"	,"1"
"david","cline","16196751500","23765"	,"1"
"david","dampier","6602308925","17468"	,"3"
"david","ford","7101922735","39580"	,"2"
"david","gabai","6602884846","2881"	,"2"
"david","galipeau","6603709483","34941"	,"5"
"david","gang","35749717500","16162"	,"1"
"david","grimaldi","56609905700","21688"	,"1"
"david","hanson","7201616092","34946"	,"1"
"david","herron","7007033459","40689"	,"2"
"david","hertzog","7003590980","25893"	,"1"
"david","hilton","7004133355","5290"	,"1"
"david","hilton","7102093325","4672"	,"6"
"david","ho","6504504125","35992"	,"1"
"david","ho","7404934942","35992"	,"1"
"david","ho","7404935404","35992"	,"1"
"david","irwin","24294584900","41251"	,"1"
"david","janos","6601954208","30475"	,"4"
"david","janzen","27168158600","35366"	,"4"
"david","jerison","6603457363","40738"	,"6"
"david","johnson","55378182800","28885"	,"1"
"david","johnston","24829351700","10969"	,"2"
"david","johnston","55574221843","15691"	,"2"
"david","kadko","7003489477","39868"	,"7"
"david","kaeli","56761175600","25952"	,"1"
"david","kaplan","56446221300","34932"	,"3"
"david","kaplan","7402904704","23060"	,"8"
"david","kerr","7402400615","12728"	,"1"
"david","kicklighter","6603810350","3799"	,"1"
"david","kofke","7004466552","3801"	,"2"
"david","lambert","22953543700","10609"	,"1"
"david","lipson","12243071200","11567"	,"9"
"david","love","55626212900","30778"	,"1"
"david","martin","7406286418","41210"	,"2"
"david","mclean","7201787743","6025"	,"1"
"david","micklos","6507371056","6704"	,"1"
"david","miller","56438249300","39028"	,"3"
"david","olinger","6604032536","4006"	,"2"
"david","roberson","36743691100","31731"	,"4"
"david","rosen","7401477575","3558"	,"1"
"david","rowe","55933663800","9504"	,"1"
"david","rubin","7202307198","25892"	,"2"
"david","schmale","10540059100","2443"	,"2"
"david","sedlak","7005529361","3848"	,"1"
"david","shaffer","16225041100","15680"	,"1"
"david","shuster","7004559153","23438"	,"4"
"david","simpson","7402415050","4268"	,"2"
"david","smith","7102996241","7154"	,"2"
"david","tierney","7006675505","11316"	,"1"
"david","tse","7101916521","16425"	,"1"
"david","turner","35598361800","16062"	,"1"
"david","vieglais","6507582456","35144"	,"4"
"david","voelz","6603853673","12823"	,"1"
"david","wagner","7401982903","23708"	,"10"
"david","whalley","14628082400","19800"	,"1"
"david","wilson","10939020600","4072"	,"2"
"dean","baskin","36124552100","6606"	,"1"
"dean","dellapenna","7003974967","28519"	,"1"
"deana","pennington","8902316900","9597"	,"1"
"deborah","clark","55238150100","10695"	,"4"
"deborah","evans","56913565300","20385"	,"1"
"deborah","schifter","16430686500","3381"	,"3"
"delana","nivens","7003709874","17257"	,"1"
"delia","oppo","56943203100","5583"	,"3"
"deng","cao","16027964400","24465"	,"2"
"dennis","hedgecock","55903129200","15421"	,"1"
"dennis","smith","7410359057","4039"	,"1"
"dereje","seifu","6602900165","8885"	,"2"
"derek","paley","9635048100","30077"	,"3"
"derrick","stolee","36237714500","40713"	,"2"
"di","liu","7409284164","2522"	,"2"
"di","ma","25945868000","33708"	,"1"
"diana","boyer","7103060023","27541"	,"3"
"diana","dalbotten","55327745900","1029"	,"4"
"diana","wall","7202196113","17428"	,"8"
"diana","white","6601964468","1378"	,"1"
"diane","ebert-may","6603460952","289"	,"6"
"diane","mcknight","7103272759","7715"	,"15"
"dianne","pawluk","6602406898","15122"	,"2"
"dinesh","manocha","56978971700","21762"	,"1"
"dipanjan","mazumdar","7005794721","16796"	,"4"
"dmitrii","makarov","14067728900","20882"	,"2"
"dmitry","pekurovsky","6507801493","26284"	,"3"
"dmitry","ponomarev","7005755869","34246"	,"1"
"don","liu","24478022500","23768"	,"1"
"don","liu","36640120800","23768"	,"1"
"donald","estep","7004252930","15893"	,"1"
"donald","gaver","35571978100","4420"	,"2"
"donald","perovich","7004353965","3592"	,"11"
"donald","porter","22836456100","15990"	,"7"
"donald","watson","7402905787","34874"	,"2"
"donald","weidner","7006007522","10148"	,"8"
"dong","liu","55730483400","16933"	,"1"
"dong","wang","55576500100","17057"	,"1"
"dong","wang","57060991600","8470"	,"2"
"dong","xu","14323975400","34984"	,"4"
"dong","xu","55568520192","34984"	,"2"
"dong","xu","7404074295","17985"	,"1"
"donghai","wang","56424140700","2641"	,"2"
"dongyan","zhang","55264943800","37375"	,"1"
"donna","charlevoix","7801376707","17862"	,"1"
"douglas","clark","7404788506","36911"	,"1"
"douglas","eernisse","6603276893","28774"	,"1"
"douglas","jerolmack","6505952468","41674"	,"10"
"douglas","jones","7406579163","2494"	,"4"
"douglas","kane","7101753369","13162"	,"15"
"douglas","smith","55627047500","29870"	,"4"
"douglas","soltis","57190294340","40918"	,"3"
"duane","deardorff","7004681928","24406"	,"1"
"dustin","cartwright","35090030100","6644"	,"1"
"edina","renfro-michel","26421761800","17464"	,"4"
"edmund","brodie","35261408100","2818"	,"3"
"edmund","brodie","35261408100","40047"	,"3"
"edmund","tsang","7004402518","2424"	,"4"
"eduardo","santillan","16246118400","36197"	,"1"
"edward","silver","35813691600","3383"	,"1"
"edwin","schmeckpeper","6602434676","24460"	,"1"
"edwin","schneider","7402363038","5808"	,"8"
"ekaterina","botchkovar","9839119900","33766"	,"1"
"elfi","kraka","7004130406","40569"	,"1"
"eliot","quataert","7003910069","13529"	,"8"
"elisabeth","root","12771704100","39707"	,"2"
"elizabeth","archie","10340877200","4902"	,"1"
"elizabeth","belding","15064141000","26804"	,"1"
"elizabeth","chen","24597363600","13215"	,"1"
"elizabeth","crockett","7003484346","26528"	,"2"
"elizabeth","hajek","22941122100","8707"	,"5"
"ellen","platzman","6603366996","23447"	,"1"
"elliot","douglas","35253560100","12121"	,"1"
"emily","brodsky","8281354300","10828"	,"9"
"emily","brodsky","8281354300","4548"	,"8"
"emory","bunn","7003993061","32083"	,"3"
"eric","cole","15025974300","35300"	,"1"
"eric","davidson","56567387400","39388"	,"1"
"eric","grodsky","6505923235","23512"	,"2"
"eric","johnson","56272028800","18059"	,"1"
"eric","kunze","55764437400","2510"	,"27"
"eric","mazur","56890710500","29702"	,"1"
"eric","small","7101912085","38121"	,"7"
"eric","wiebe","7005357155","4192"	,"3"
"erica","goetze","9744421300","19184"	,"4"
"erik","perrins","7003498769","34210"	,"1"
"eriks","rozners","6603791459","31378"	,"3"
"esther","duflo","6602205596","11786"	,"6"
"eswar","prasad","55531425000","11792"	,"3"
"ethan","anderes","33367491900","18746"	,"2"
"eugene","chen","24398369900","20926"	,"3"
"eugene","feinberg","7006435357","25555"	,"1"
"eva","andrei","35357565200","25958"	,"1"
"evert","elzinga","6603349951","25873"	,"3"
"fan","wu","55700770500","17459"	,"1"
"fan","wu","56018035800","17459"	,"1"
"farshad","rajabipour","8921877800","20751"	,"2"
"fei","hu","7202526243","5462"	,"4"
"fei","xie","9535544200","34173"	,"1"
"feifang","hu","7202526243","37009"	,"4"
"feng","han","35207693500","1478"	,"2"
"feng","han","7202398074","1478"	,"5"
"feng","han","7202398151","1478"	,"1"
"feng","jiao","26642880900","27893"	,"2"
"feng","jiao","8902137300","27893"	,"1"
"feng","li","26428192500","21411"	,"3"
"feng","li","37261373000","35295"	,"2"
"feng","li","57192960045","20284"	,"1"
"feng","liu","26642965900","15172"	,"1"
"feng","liu","36108478000","15172"	,"2"
"feng","luo","7201857812","31084"	,"1"
"feng","wang","16445080000","30676"	,"2"
"feng","wang","55885531900","15108"	,"1"
"feng","wang","56374790700","30676"	,"1"
"feng","zhang","56957750000","41291"	,"1"
"forouzan","golshani","7004077441","6257"	,"1"
"frances","bonier","8963662700","10466"	,"3"
"francesco","sorrentino","56231703900","30199"	,"1"
"francis","wu","7403465583","3065"	,"1"
"frank","mueller","7202423683","17189"	,"2"
"frank","spear","7006861547","37840"	,"8"
"franklin","tao","56701946300","20579"	,"2"
"fraser","fleming","7005672614","7425"	,"1"
"fred","ellis","22966671700","22087"	,"1"
"friederike","jentoft","7003620260","12251"	,"1"
"fuqiang","liu","55717147000","19076"	,"1"
"ganesh","baliga","7101758736","10041"	,"1"
"gang","cheng","26642879900","12571"	,"2"
"gang","wang","10045062700","29885"	,"1"
"garret","nicodemus","8873462800","24313"	,"6"
"gary","axen","6603941438","27414"	,"10"
"gary","leavens","6701465113","1043"	,"2"
"gary","olson","7201805470","24315"	,"6"
"gary","scott","8536443800","8798"	,"6"
"gary","smith","35476588200","755"	,"1"
"gary","smith","55740946600","755"	,"1"
"gavin","lawes","7004006492","1142"	,"7"
"generose","nziguheba","6603490310","14395"	,"3"
"gennaro","d'angelo","7102881268","23097"	,"1"
"georg","jander","6603037135","26177"	,"6"
"george","bennett","7401434168","20141"	,"1"
"george","gehrels","35548281700","9934"	,"18"
"george","michailidis","6701747952","15888"	,"2"
"george","weng","7006124528","12539"	,"1"
"gerald","schubert","7201568549","964"	,"1"
"gisela","winckler","7004038301","4395"	,"3"
"gita","sukthankar","6507708407","41128"	,"6"
"glaucio","paulino","57050643600","36189"	,"1"
"glenn","carter","56663831000","3898"	,"3"
"glenn","flierl","56969453800","11705"	,"1"
"gloria","mark","7102589673","15189"	,"1"
"gopal","gupta","7202166950","29860"	,"2"
"gopal","narayanan","7005397816","6964"	,"5"
"graeme","stephens","57189366953","2545"	,"2"
"graham","andrews","23391843700","34914"	,"2"
"greg","bryan","7102268958","23072"	,"22"
"gregg","gunnell","6603865722","16309"	,"4"
"gregg","rothermel","7003915481","23284"	,"6"
"gregor","von,laszewski","6701618640","36366"	,"2"
"gregory","cutter","7005350178","28874"	,"19"
"gregory","lowry","7003945037","20852"	,"3"
"gregory","mckenna","7102470949","40365"	,"1"
"gregory","thompson","24559318800","13748"	,"5"
"gregory","tudryn","24759413000","29970"	,"3"
"gregory","wilson","55952787300","799"	,"1"
"gregory","zolnerowich","6507864638","7640"	,"8"
"gretchen","hofmann","7202274369","3489"	,"2"
"guang","cheng","55740901900","11323"	,"1"
"guang","cheng","7401862264","11323"	,"1"
"guang","gao","7403170980","5930"	,"2"
"guang","zhang","55713760000","4629"	,"1"
"guanghui","lan","14822108000","23775"	,"3"
"guangwen","zhou","9733355900","20597"	,"2"
"guenter","ahlers","7006629808","12078"	,"1"
"guiren","wang","23991489500","4264"	,"4"
"gunjan","agarwal","7202933335","12698"	,"1"
"gunnar","carlsson","35468118200","15911"	,"2"
"guoqiang","li","55578743800","1251"	,"1"
"guoqing","tang","55737300200","8892"	,"1"
"guoqing","tang","6507905716","8892"	,"2"
"guoqing","tang","7401633925","8892"	,"3"
"gustavo","menezes","9244496700","18049"	,"4"
"h.","kimble","7004498242","8832"	,"10"
"habib,m.","ammari","35309222000","15605"	,"3"
"hai","li","55510183500","22890"	,"2"
"hai","li","55710026100","22900"	,"2"
"hai","zhou","55716800000","7747"	,"1"
"hai","zhou","7404742244","7747"	,"1"
"haimin","wang","8856258300","11506"	,"24"
"haiyan","wang","56036682700","643"	,"1"
"han","liu","35322668100","38955"	,"1"
"han","liu","7409789004","38955"	,"1"
"hang","liu","26021352800","37165"	,"2"
"hang","liu","56122500800","37165"	,"1"
"hang","liu","7409794203","37165"	,"1"
"hannetz","roschzttardtz","12646529000","39406"	,"1"
"hanspeter","pfister","23028620700","7887"	,"1"
"hantao","ji","55484886400","25949"	,"1"
"hao","chen","35363509600","34925"	,"2"
"hao","ling","56377611400","37173"	,"1"
"hao","zhang","35789377500","28447"	,"1"
"hao","zhang","53980849800","41404"	,"1"
"hao","zhang","55685656900","20068"	,"1"
"hao","zhang","7409376518","41404"	,"1"
"hari","sundar","35561654300","40420"	,"2"
"hartmut","geyer","7102741278","6300"	,"1"
"hassan","virji","24170026200","1402"	,"2"
"he","huang","10043719900","31432"	,"1"
"he","huang","26023310000","29814"	,"1"
"he","huang","55595998200","29814"	,"1"
"he","huang","7403424469","29814"	,"1"
"heather","savage","55747101700","29285"	,"3"
"heidi","nepf","6701841204","10069"	,"1"
"heidi","newberg","56240609900","1406"	,"7"
"helen","meyer","7003416046","35606"	,"1"
"heng","huang","35118881100","8084"	,"2"
"heng","huang","55948420300","4110"	,"1"
"heng","xu","36603566200","3314"	,"2"
"heng","xu","9843801700","3256"	,"1"
"henry","huntington","7004505238","42160"	,"12"
"henry","trapido-rosenthal","6603691715","9103"	,"1"
"herman","lam","55319109600","12347"	,"1"
"hiroshi","maeda","55254573500","28701"	,"1"
"hitoshi","murayama","54990557000","23478"	,"4"
"hong","huang","15729558300","18295"	,"1"
"hong","huang","55589661000","18295"	,"1"
"hong","huang","55778544200","18295"	,"1"
"hong","li","55183964100","11646"	,"2"
"hong","liu","35337184800","17854"	,"1"
"hong","liu","36071408500","17854"	,"1"
"hong","liu","55719348800","17854"	,"1"
"hong","zhang","41763210400","4489"	,"1"
"hong","zhang","56953830900","4489"	,"3"
"hong","zhang","7409190567","4489"	,"5"
"hong","zhang","7409192866","4489"	,"9"
"hong","zhang","8232215100","4489"	,"4"
"hong","zhou","7401567208","26010"	,"2"
"hong","zhou","7404515439","26010"	,"1"
"honggang","wang","57044092000","38539"	,"2"
"hongtao","yu","37098479400","11776"	,"2"
"horst","von,recum","6602484743","1931"	,"1"
"howard","butler","8311374000","27217"	,"1"
"howard","salis","9839371000","18874"	,"2"
"hua","li","7409747220","29472"	,"4"
"hua","wang","7501735520","38996"	,"2"
"hugh","ducklow","7004597725","26961"	,"13"
"hui","deng","7401775556","31965"	,"1"
"hui","wang","22955063100","40551"	,"1"
"hui","wang","55719820500","27779"	,"1"
"hui","zhao","7403535102","1930"	,"1"
"huixin","he","57191328949","34950"	,"1"
"husheng","li","24281766500","17205"	,"5"
"huw","davies","13003463200","13401"	,"1"
"huw","davies","13003463200","14468"	,"1"
"ian","baker","7102890144","208"	,"5"
"ian","foster","35572232000","37472"	,"2"
"ian","robertson","7404532167","31383"	,"1"
"igal","szleifer","7003378431","30717"	,"3"
"igor","kaganovich","56526565500","26938"	,"1"
"igor","polyakov","7006359209","13037"	,"9"
"ineke","marshall","12794686100","33766"	,"1"
"insup","lee","55519708000","9852"	,"14"
"insup","lee","56878048200","9607"	,"1"
"ivan","rodero","22939030800","21780"	,"2"
"jack","beuth","7102508517","25977"	,"2"
"jack","mcgourty","7004026879","11623"	,"2"
"jacob","jones","56942034000","31938"	,"2"
"jacobus","van,der,merwe","7101890391","23367"	,"7"
"jacques","distler","7005411659","23403"	,"1"
"james","baldwin","7402663139","19447"	,"2"
"james","coe","7103170817","12886"	,"3"
"james","cronin","7103340764","4694"	,"6"
"james","davis","24293230200","42016"	,"3"
"james","day","55481075100","7819"	,"1"
"james","drake","36874648200","12870"	,"2"
"james","ferguson","55705230500","24293"	,"1"
"james","joshi","56967129900","3757"	,"1"
"james","lester","56868989600","3424"	,"3"
"james","liburdy","26643598100","2411"	,"1"
"james","luedtke","25223525000","1749"	,"4"
"james","macdonald","35120461000","24468"	,"1"
"james","martin","55708404200","9015"	,"2"
"james","mcclelland","7103238879","7113"	,"1"
"james","mccusker","7103093421","20903"	,"1"
"james","mcdonald","35510267800","17929"	,"2"
"james","mcdonald","7404234418","17929"	,"1"
"james","mckernan","56233131400","26189"	,"2"
"james","mckernan","7005503416","42087"	,"1"
"james","moon","35484779100","11578"	,"1"
"james","pierson","9733540700","19827"	,"6"
"james","powell","16943693800","17913"	,"2"
"james","pringle","7103088449","2215"	,"7"
"james","pustejovsky","6602448845","10767"	,"4"
"james","rice","7403235399","23387"	,"11"
"james","rossmanith","6508189085","33654"	,"2"
"james","russell","7404209018","18009"	,"1"
"james","sanchirico","6603128224","32739"	,"3"
"james","steenburgh","6603699044","9550"	,"20"
